sample,DF1,DF2,TDF2,CASCADE
390,-0.0000458956,0.1570886374,-0.0000458956,-0.0000867248
391,-0.0000110269,0.1570886374,-0.0000110269,-0.0000518560
392,0.0000269413,0.1570886374,0.0000269413,-0.0000143647
393,0.0000653863,0.1570886374,0.0000653863,0.0000231266
394,0.0001017451,0.1570886374,0.0001017451,0.0000579953
395,0.0001336336,0.1570886374,0.0001336336,0.0000880361
396,0.0001590848,0.1570886374,0.0001590848,0.0001112819
397,0.0001766086,0.1570886374,0.0001766086,0.0001264215
398,0.0001853108,0.1570886374,0.0001853108,0.0001325011
399,0.0001848936,0.1570886374,0.0001848936,0.0001294613
400,0.0001756549,0.1570886374,0.0001756549,0.0001176596
401,0.0001584888,0.1570886374,0.0001584888,0.0000982285
402,0.0001347661,0.1570886374,0.0001347661,0.0000726581
403,0.0001062751,0.1570886374,0.0001062751,0.0000427961
404,0.0000750422,0.1570886374,0.0000750422,0.0000107884
405,0.0000432134,0.1570886374,0.0000432134,-0.0000211000
406,0.0000128746,0.1570886374,0.0000128746,-0.0000507236
407,-0.0000140071,0.1570886374,-0.0000140071,-0.0000761151
408,-0.0000357628,0.1570886374,-0.0000357628,-0.0000956655
409,-0.0000510812,0.1570886374,-0.0000510812,-0.0001082420
410,-0.0000591278,0.1570886374,-0.0000591278,-0.0001130700
411,-0.0000596046,0.1570886374,-0.0000596046,-0.0001101494
412,-0.0000527501,0.1570886374,-0.0000527501,-0.0000998378
413,-0.0000393391,0.1570886374,-0.0000393391,-0.0000829697
414,-0.0000205636,0.1570886374,-0.0000205636,-0.0000609159
415,0.0000020862,0.1570886374,0.0000020862,-0.0000354052
416,0.0000268817,0.1570886374,0.0000268817,-0.0000080466
417,0.0000520349,0.1570886374,0.0000520349,0.0000190735
418,0.0000758171,0.1570886374,0.0000758171,0.0000441670
419,0.0000966787,0.1570886374,0.0000966787,0.0000656247
420,0.0001132488,0.1570886374,0.0001132488,0.0000820160
421,0.0001245141,0.1570886374,0.0001245141,0.0000924468
422,0.0001298189,0.1570886374,0.0001298189,0.0000963807
423,0.0001289845,0.1570886374,0.0001289845,0.0000935793
424,0.0001222491,0.1570886374,0.0001222491,0.0000845194
425,0.0001102090,0.1570886374,0.0001102090,0.0000699162
426,0.0000938773,0.1570886374,0.0000938773,0.0000509620
427,0.0000745654,0.1570886374,0.0000745654,0.0000290871
428,0.0000537634,0.1570886374,0.0000537634,0.0000057220
429,0.0000329614,0.1570886374,0.0000329614,-0.0000172853
430,0.0000136495,0.1570886374,0.0000136495,-0.0000386238
431,-0.0000028610,0.1570886374,-0.0000028610,-0.0000566840
432,-0.0000154972,0.1570886374,-0.0000154972,-0.0000705719
433,-0.0000234246,0.1570886374,-0.0000234246,-0.0000790954
434,-0.0000261664,0.1570886374,-0.0000261664,-0.0000821352
435,-0.0000236630,0.1570886374,-0.0000236630,-0.0000795722
436,-0.0000162125,0.1570886374,-0.0000162125,-0.0000716448
437,-0.0000044703,0.1570886374,-0.0000044703,-0.0000590086
438,0.0000106096,0.1570886374,0.0000106096,-0.0000427365
439,0.0000278950,0.1570886374,0.0000278950,-0.0000240207
